neighborhood,stationID,stationName,latitude,longitude,eventCount,types,time,value
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 20:00,22
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 20:00,7
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 21:00,16
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 21:00,13
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 22:00,14
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 22:00,15
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 23:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 23:00,19
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/4/18 12:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/4/18 12:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 1:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 1:00,19
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 2:00,11
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 2:00,18
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 3:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 3:00,18
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 4:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 4:00,18
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 5:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 5:00,18
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 6:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 6:00,20
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 7:00,15
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 7:00,15
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 8:00,19
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 8:00,11
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 9:00,30
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 9:00,0
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 10:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 10:00,0
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 11:00,28
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 11:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 0:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 0:00,19
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 13:00,29
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 13:00,0
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 15:00,23
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 15:00,6
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 16:00,28
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 16:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 17:00,27
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 17:00,2
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 18:00,28
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 18:00,1
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 19:00,21
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 19:00,8
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 20:00,19
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 20:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 21:00,22
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 21:00,7
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 22:00,23
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 22:00,6
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 23:00,19
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,docks,4/5/18 23:00,10
Greenwich Village,3260,Mercer St & Bleecker St,40.72706363,-73.99662137,3817,bikes,4/5/18 12:00,26
